symbol,signal_date,entry_date,entry_price,direction,atr_at_signal,upper_channel,lower_channel,channel_width,trend_filter,breakout_strength,volume,target_price,stop_price,label_horizon_days,label_target_atr,label_stop_atr,label_event,label_event_date,label_event_price,label,days_to_event
GLD,2025-03-18,2025-03-19,279.81,LONG,3.0042857142857144,276.79,261.25,15.54000000000002,270.2645,1.055159296243448,6086341.0,284.31642857142856,276.8057142857143,15,1.5,1.0,stop_first,2025-03-21,276.8057142857143,0,3
GLD,2025-03-19,2025-03-20,279.49,LONG,2.8492857142857173,280.22,261.25,18.970000000000027,270.7775,0.3123589872148357,5472807.0,283.7639285714286,276.6407142857143,15,1.5,1.0,stop_first,2025-03-21,276.6407142857143,0,2
GLD,2025-03-28,2025-03-31,287.53,LONG,2.7999999999999994,282.07,261.25,20.819999999999993,274.7495,0.7107142857142891,6080090.0,291.72999999999996,284.72999999999996,15,1.5,1.0,stop_first,2025-04-03,284.72999999999996,0,4
GLD,2025-03-31,2025-04-01,288.54,LONG,2.845714285714284,284.64,265.07,19.569999999999993,275.8195,1.2299196787148603,8470207.0,292.80857142857144,285.69428571428574,15,1.5,1.0,stop_first,2025-04-03,285.69428571428574,0,3
GLD,2025-04-10,2025-04-11,297.87,LONG,4.804285714285705,289.13,271.55,17.579999999999984,281.446,0.6702349093071731,13168807.0,305.07642857142855,293.0657142857143,15,1.5,1.0,target_first,2025-04-16,305.07642857142855,1,6
GLD,2025-04-11,2025-04-14,295.54,LONG,5.139999999999991,292.86,272.58,20.28000000000003,282.5805,0.9863813229571989,14193554.0,303.25,290.40000000000003,15,1.5,1.0,target_first,2025-04-16,303.25,1,3
GLD,2025-04-16,2025-04-17,306.31,LONG,5.699285714285712,299.28,272.58,26.69999999999999,285.76450000000006,1.4370221832309915,13259829.0,314.8589285714286,300.61071428571427,15,1.5,1.0,target_first,2025-04-21,314.8589285714286,1,5
GLD,2025-04-21,2025-04-22,317.47,LONG,6.272857142857147,308.06,272.58,35.48000000000002,288.88800000000003,1.2004099294010424,14163959.0,326.87928571428574,311.19714285714286,15,1.5,1.0,stop_first,2025-04-22,311.19714285714286,0,1
IWM,2025-05-02,2025-05-05,198.57,LONG,4.537142857142856,197.67,171.73,25.939999999999998,188.3565,0.6193324937027715,19190745.0,205.37571428571428,194.03285714285713,15,1.5,1.0,target_first,2025-05-12,205.37571428571428,1,8
SPY,2025-05-02,2025-05-05,562.55,LONG,11.587142857142855,564.07,481.8,82.27000000000004,535.045,0.23215386512143496,35759127.0,579.9307142857142,550.962857142857,15,1.5,1.0,target_first,2025-05-12,579.9307142857142,1,8
IWM,2025-05-12,2025-05-13,208.93,LONG,4.424285714285716,202.74,178.58,24.159999999999997,193.9405,1.1595092024539861,24646825.0,215.5664285714286,204.5057142857143,15,1.5,1.0,stop_first,2025-05-21,204.5057142857143,0,9
QQQ,2025-05-12,2025-05-13,509.19,LONG,10.527857142857142,492.7,427.93,64.76999999999998,470.224,1.439039283533486,25230788.0,524.9817857142857,498.66214285714284,15,1.5,1.0,target_first,2025-05-29,524.9817857142857,1,17
SPY,2025-05-12,2025-05-13,583.46,LONG,9.954999999999993,570.31,508.46,61.849999999999966,549.1735,1.273731793068817,47256818.0,598.3925,573.505,15,1.5,1.0,timeout,2025-06-03,596.09,0,22
XLE,2025-05-12,2025-05-13,42.5,LONG,0.9028571428571434,41.6,37.91,3.690000000000005,40.6395,0.764240506329111,24244242.0,43.854285714285716,41.597142857142856,15,1.5,1.0,stop_first,2025-05-21,41.597142857142856,0,9
QQQ,2025-05-13,2025-05-14,516.77,LONG,9.859285714285713,507.89,427.93,79.95999999999998,473.1295,0.7809896399333526,34683749.0,531.5589285714285,506.9107142857143,15,1.5,1.0,stop_first,2025-05-23,506.9107142857143,0,10
SPY,2025-05-13,2025-05-14,587.83,LONG,9.102142857142853,583.0,508.46,74.54000000000002,551.5595000000001,0.42187867849015515,40068413.0,601.4832142857143,578.7278571428571,15,1.5,1.0,stop_first,2025-05-23,578.7278571428571,0,10
SPY,2025-05-16,2025-05-19,588.1,LONG,8.14857142857144,590.97,508.46,82.51000000000005,560.688,0.39638849929873937,37450157.0,600.3228571428572,579.9514285714286,15,1.5,1.0,stop_first,2025-05-23,579.9514285714286,0,5
