date,close,cash_flow,position_delta,cash,position_shares,market_value,equity,daily_return,running_peak,drawdown,open_positions
2021-10-06,359.67,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-07,362.97,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-08,361.16,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-11,358.39,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-12,357.14,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-13,360.0,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-14,366.63,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-15,368.94,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-18,372.65,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-19,375.47,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-20,374.98,-34997.38242,93.0,66494.75318,93.0,34873.14,101367.89318,-0.001224158101172046,101580.4492,-0.0020924894669593908,1
2021-10-21,377.27,0.0,0.0,66494.75318,93.0,35086.11,101580.86318,0.002100961096447307,101580.86318,0.0,1
2021-10-22,374.1,0.0,0.0,66494.75318,93.0,34791.3,101286.05318,-0.0029022198745998207,101580.86318,-0.0029022198745998207,1
2021-10-25,377.93,0.0,0.0,66494.75318,93.0,35147.49,101642.24317999999,0.0035166737059739717,101642.24317999999,0.0,1
2021-10-26,379.12,0.0,0.0,66494.75318,93.0,35258.16,101752.91318,0.0010888189451312424,101752.91318,0.0,1
2021-10-27,380.0,35304.66,-93.0,101799.41318,0.0,0.0,101799.41318,0.00045698937304861076,101799.41318,0.0,0
2021-10-28,384.22,0.0,0.0,101799.41318,0.0,0.0,101799.41318,0.0,101799.41318,0.0,0
2021-10-29,386.11,-44628.60402,117.0,57170.80916,117.0,45174.87,102345.67916,0.005366101463022188,102345.67916,0.0,1
2021-11-01,387.43,0.0,0.0,57170.80916,117.0,45329.31,102500.11916,0.0015090036166407472,102500.11916,0.0,1
2021-11-02,389.05,0.0,0.0,57170.80916,117.0,45518.85,102689.65916,0.001849168581981031,102689.65916,0.0,1
2021-11-03,393.18,0.0,0.0,57170.80916,117.0,46002.06,103172.86916,0.004705537090615053,103172.86916,0.0,1
2021-11-04,398.22,0.0,0.0,57170.80916,117.0,46591.740000000005,103762.54916,0.005715456057401314,103762.54916,0.0,1
2021-11-05,398.6,46589.5638,-117.0,103760.37296000001,0.0,0.0,103760.37296000001,-2.097288489544269e-05,103762.54916,-2.097288489544269e-05,0
2021-11-08,398.06,0.0,0.0,103760.37296000001,0.0,0.0,103760.37296000001,0.0,103762.54916,-2.097288489544269e-05,0
2021-11-09,395.32,0.0,0.0,103760.37296000001,0.0,0.0,103760.37296000001,0.0,103762.54916,-2.097288489544269e-05,0
2021-11-10,389.51,0.0,0.0,103760.37296000001,0.0,0.0,103760.37296000001,0.0,103762.54916,-2.097288489544269e-05,0
2021-11-11,390.59,0.0,0.0,103760.37296000001,0.0,0.0,103760.37296000001,0.0,103762.54916,-2.097288489544269e-05,0
2021-11-12,394.7,0.0,0.0,103760.37296000001,0.0,0.0,103760.37296000001,0.0,103762.54916,-2.097288489544269e-05,0
2021-11-15,394.61,0.0,0.0,103760.37296000001,0.0,0.0,103760.37296000001,0.0,103762.54916,-2.097288489544269e-05,0
2021-11-16,397.42,0.0,0.0,103760.37296000001,0.0,0.0,103760.37296000001,0.0,103762.54916,-2.097288489544269e-05,0
2021-11-17,397.63,0.0,0.0,103760.37296000001,0.0,0.0,103760.37296000001,0.0,103762.54916,-2.097288489544269e-05,0
