date,open,high,low,close,volume,symbol
2022-01-06,382.42,387.35,380.13,384.02,53317928,QQQ
2022-01-07,384.03,385.76,378.04,379.86,53289156,QQQ
2022-01-10,374.82,380.64,369.31,380.11,67896898,QQQ
2022-01-11,379.35,385.99,377.21,385.82,53792032,QQQ
2022-01-12,388.47,390.2,385.01,387.35,40077643,QQQ
2022-01-13,388.75,389.47,376.7,377.66,58510891,QQQ
2022-01-14,375.07,380.35,374.86,380.01,59635686,QQQ
2022-01-18,374.12,376.22,369.77,370.55,54304472,QQQ
2022-01-19,372.08,374.69,366.21,366.48,59566103,QQQ
2022-01-20,369.78,373.87,361.17,361.72,60159969,QQQ
2022-01-21,359.44,362.18,351.41,351.69,99929814,QQQ
2022-01-24,345.88,353.98,334.15,353.3,144998311,QQQ
2022-01-25,346.62,351.03,341.68,345.11,88008000,QQQ
2022-01-26,352.91,356.88,340.78,344.57,102356208,QQQ
2022-01-27,349.39,351.27,340.05,341.1,67009204,QQQ
2022-01-28,343.03,352.02,337.95,351.8,73057907,QQQ
2022-01-31,353.25,363.65,351.52,363.05,59998517,QQQ
2022-02-01,364.43,366.19,359.14,365.52,51966229,QQQ
2022-02-02,369.8,370.1,364.28,368.49,49085441,QQQ
2022-02-03,358.58,361.93,352.46,353.55,59824762,QQQ
2022-02-04,354.08,361.4,351.97,358.01,60978277,QQQ
2022-02-07,358.65,361.05,353.84,355.13,42571123,QQQ
2022-02-08,354.01,360.24,352.8,359.12,43862117,QQQ
2022-02-09,363.71,366.8,362.12,366.73,39745324,QQQ
2022-02-10,359.52,366.49,356.54,358.43,79680860,QQQ
2022-02-11,358.46,360.07,345.8,347.06,76236081,QQQ
2022-02-14,346.46,350.98,343.89,347.49,58527787,QQQ
2022-02-15,352.91,356.37,351.82,356.13,43207889,QQQ
2022-02-16,353.92,357.09,350.71,356.04,42514707,QQQ
2022-02-17,352.69,353.46,345.02,345.45,43921981,QQQ
2022-02-18,346.41,346.81,339.14,341.51,55873138,QQQ
2022-02-22,338.52,344.04,334.35,338.08,64478895,QQQ
2022-02-23,341.32,342.19,329.11,329.42,60953824,QQQ
2022-02-24,318.88,341.04,318.26,340.49,92608126,QQQ
2022-02-25,341.31,345.98,337.39,345.77,56658130,QQQ
2022-02-28,342.47,348.54,341.32,346.8,56298920,QQQ
2022-03-01,345.75,348.08,338.9,341.49,50768273,QQQ
2022-03-02,343.08,348.59,340.24,347.22,49221167,QQQ
2022-03-03,349.94,350.04,340.35,342.26,52895564,QQQ
2022-03-04,339.83,341.31,334.92,337.3,54873357,QQQ
2022-03-07,337.29,338.48,324.65,324.86,64881959,QQQ
2022-03-08,324.05,333.21,319.94,323.35,84449964,QQQ
2022-03-09,331.76,336.38,329.09,334.99,42863194,QQQ
2022-03-10,330.82,332.51,326.71,331.27,47559704,QQQ
2022-03-11,334.32,334.64,323.9,324.4,47656805,QQQ
2022-03-14,323.13,326.59,317.45,318.17,57398154,QQQ
2022-03-15,320.88,328.95,319.23,328.15,52903329,QQQ
2022-03-16,332.17,340.44,328.4,340.32,70651026,QQQ
2022-03-17,338.37,344.5,337.04,344.44,44003301,QQQ
2022-03-18,342.74,351.79,341.55,351.49,49262438,QQQ
2022-03-21,350.2,352.48,345.57,350.08,53640497,QQQ
2022-03-22,350.57,357.85,350.2,356.96,43936117,QQQ
2022-03-23,353.99,357.66,351.77,351.83,47149690,QQQ
2022-03-24,353.8,359.7,351.59,359.65,40288460,QQQ
2022-03-25,359.58,360.67,354.94,359.35,43261814,QQQ
2022-03-28,359.34,365.01,358.07,364.91,44330038,QQQ
2022-03-29,368.86,371.83,366.06,371.19,48893342,QQQ
2022-03-30,369.28,370.98,365.57,367.09,46468054,QQQ
2022-03-31,367.24,367.6,361.68,362.54,47306692,QQQ
2022-04-01,362.81,363.61,358.59,361.85,39423767,QQQ
2022-04-04,362.71,369.31,362.44,369.3,31369918,QQQ
2022-04-05,367.81,368.54,360.0,361.1,47741806,QQQ
2022-04-06,355.65,356.78,350.56,353.26,65687649,QQQ
2022-04-07,352.24,356.35,348.69,354.1,49382539,QQQ
2022-04-08,352.32,353.09,348.5,349.15,45459802,QQQ
2022-04-11,344.81,345.75,340.53,340.89,43741901,QQQ
2022-04-12,345.76,347.69,338.03,339.45,54009170,QQQ
2022-04-13,339.81,347.43,339.06,346.35,42800996,QQQ
2022-04-14,346.44,346.97,338.21,338.43,47242281,QQQ
2022-04-18,337.35,341.04,335.79,338.69,42696995,QQQ
2022-04-19,338.03,346.85,336.98,346.26,40644717,QQQ
2022-04-20,347.09,347.56,339.97,341.21,50110346,QQQ
2022-04-21,345.17,347.87,333.2,334.15,61576026,QQQ
2022-04-22,334.32,335.56,324.98,325.4,63544145,QQQ
2022-04-25,323.73,329.9,322.43,329.58,74425991,QQQ
2022-04-26,327.47,327.66,316.85,317.14,75534298,QQQ
2022-04-27,317.24,322.88,315.0,316.76,83520681,QQQ
2022-04-28,321.85,329.89,317.52,328.01,67013282,QQQ
2022-04-29,323.7,327.23,312.6,313.25,69200585,QQQ
2022-05-02,312.82,318.72,309.64,318.48,79351844,QQQ
2022-05-03,318.5,321.17,315.98,318.82,57787464,QQQ
2022-05-04,319.31,330.29,313.89,329.6,91091279,QQQ
2022-05-05,325.17,325.25,309.62,313.0,113771051,QQQ
2022-05-06,310.95,315.09,305.1,309.25,106545317,QQQ
2022-05-09,303.46,306.0,295.72,297.15,80869617,QQQ
2022-05-10,304.54,305.76,296.57,300.76,90881091,QQQ
2022-05-11,298.38,304.09,290.95,291.84,90273551,QQQ
2022-05-12,287.45,295.75,284.94,291.15,85613752,QQQ
2022-05-13,295.72,303.0,294.08,301.94,56361673,QQQ
2022-05-16,300.13,302.26,297.13,298.44,44471349,QQQ
2022-05-17,304.42,306.56,300.55,306.17,43663005,QQQ
2022-05-18,301.54,302.25,289.88,291.14,53006860,QQQ
2022-05-19,289.29,294.39,287.58,289.58,55683234,QQQ
2022-05-20,293.13,293.8,280.21,288.68,62436605,QQQ
2022-05-23,289.75,293.87,287.29,293.48,44930276,QQQ
2022-05-24,288.13,288.86,282.25,287.24,53304625,QQQ
2022-05-25,285.71,293.39,285.5,291.26,48750417,QQQ
2022-05-26,290.44,300.92,290.15,299.33,44347742,QQQ
2022-05-27,302.53,309.25,302.42,309.1,45425105,QQQ
2022-05-31,309.11,311.33,304.33,308.28,43422400,QQQ
2022-06-01,310.47,312.65,303.73,306.0,46395640,QQQ
2022-06-02,304.85,314.56,303.4,314.38,41095524,QQQ
2022-06-03,309.03,310.47,304.92,306.2,41222615,QQQ
2022-06-06,310.75,312.35,305.62,307.22,35705348,QQQ
2022-06-07,303.81,310.67,302.68,309.87,32950405,QQQ
2022-06-08,309.05,311.72,306.77,307.64,28687381,QQQ
2022-06-09,305.91,309.05,299.23,299.4,35942027,QQQ
2022-06-10,293.65,294.87,288.38,288.84,57126617,QQQ
2022-06-13,279.75,282.34,274.53,275.41,63376648,QQQ
2022-06-14,277.68,278.66,273.33,275.91,46433588,QQQ
2022-06-15,279.44,286.83,276.61,282.8,61872228,QQQ
2022-06-16,275.59,276.06,269.28,271.39,52908159,QQQ
2022-06-17,272.15,277.19,270.51,274.69,45998826,QQQ
2022-06-21,278.75,283.45,278.64,281.08,34807529,QQQ
2022-06-22,278.52,285.18,277.91,280.67,45245053,QQQ
2022-06-23,283.2,285.72,280.31,284.85,43085458,QQQ
2022-06-24,287.77,295.0,287.5,294.61,39607179,QQQ
2022-06-27,296.0,296.58,291.29,292.45,33359804,QQQ
2022-06-28,293.0,295.65,283.35,283.54,47152159,QQQ
2022-06-29,283.4,285.34,280.84,283.8,39359509,QQQ
2022-06-30,280.75,283.89,275.78,280.28,56927782,QQQ
2022-07-01,278.95,282.53,277.03,282.13,42165903,QQQ
2022-07-05,278.3,287.08,276.75,286.96,45859958,QQQ
2022-07-06,287.35,290.95,285.59,288.8,42199561,QQQ
2022-07-07,289.63,295.7,289.63,294.98,35342065,QQQ
2022-07-08,292.08,296.75,291.12,295.35,41727983,QQQ
2022-07-11,292.84,293.11,288.14,289.04,36494388,QQQ
2022-07-12,290.32,292.28,284.61,286.24,39515104,QQQ
2022-07-13,280.6,288.05,280.02,285.65,47531286,QQQ
2022-07-14,282.99,287.56,279.8,286.67,43354556,QQQ
2022-07-15,289.75,291.98,288.08,291.87,34768266,QQQ
2022-07-18,294.72,296.16,288.2,289.4,38303002,QQQ
2022-07-19,293.14,298.6,291.47,298.3,38398804,QQQ
2022-07-20,298.73,304.24,297.93,303.03,47220279,QQQ
2022-07-21,303.5,307.44,300.78,307.38,37601593,QQQ
2022-07-22,306.43,308.55,300.11,301.99,39539586,QQQ
2022-07-25,302.02,302.5,298.22,300.27,30264506,QQQ
2022-07-26,298.52,298.77,293.54,294.37,32747850,QQQ
2022-07-27,299.04,308.54,298.46,306.81,49579465,QQQ
2022-07-28,306.59,310.4,302.74,309.81,39056654,QQQ
2022-07-29,311.38,316.39,309.93,315.46,37780518,QQQ
2022-08-01,313.66,318.81,312.53,315.27,33992799,QQQ
2022-08-02,312.92,318.55,311.84,314.33,35823884,QQQ
2022-08-03,316.05,323.73,315.99,322.89,40343923,QQQ
2022-08-04,322.92,324.72,320.77,324.4,27389418,QQQ
2022-08-05,319.19,323.83,318.39,321.75,36845723,QQQ
2022-08-08,322.69,326.47,319.21,320.71,33245563,QQQ
2022-08-09,318.77,319.03,315.42,317.08,27401014,QQQ
2022-08-10,324.59,326.23,322.06,325.93,33521345,QQQ
2022-08-11,328.31,330.36,323.36,324.08,33016805,QQQ
2022-08-12,326.18,330.59,325.1,330.39,26825890,QQQ
2022-08-15,329.42,333.57,329.4,333.06,24553421,QQQ
2022-08-16,332.06,334.43,329.16,332.28,29680445,QQQ
2022-08-17,329.07,331.43,326.36,328.49,34032969,QQQ
2022-08-18,328.44,330.49,326.79,329.28,26643765,QQQ
2022-08-19,326.18,326.84,322.08,322.86,32432071,QQQ
2022-08-22,318.5,318.74,313.53,314.36,34611428,QQQ
2022-08-23,314.12,317.0,313.33,314.1,27694299,QQQ
2022-08-24,313.55,316.87,312.99,315.01,26194166,QQQ
2022-08-25,316.85,320.6,315.75,320.58,23461132,QQQ
2022-08-26,320.28,321.51,307.35,307.44,47786700,QQQ
2022-08-29,304.62,307.22,303.28,304.41,35996970,QQQ
2022-08-30,306.1,306.73,298.44,301.02,39380880,QQQ
2022-08-31,304.0,304.91,299.16,299.27,33031508,QQQ
2022-09-01,296.72,299.78,292.95,299.4,43881864,QQQ
2022-09-02,302.34,303.75,293.52,295.17,44094554,QQQ
2022-09-06,295.66,296.6,290.87,293.05,41606337,QQQ
2022-09-07,293.54,299.99,293.27,298.97,34383932,QQQ
2022-09-08,296.85,301.87,295.45,300.52,37600182,QQQ
2022-09-09,302.83,307.6,302.79,307.09,36902824,QQQ
2022-09-12,308.5,311.08,308.18,310.74,28450471,QQQ
2022-09-13,301.8,303.02,292.78,293.7,50541576,QQQ
2022-09-14,294.89,296.93,293.06,296.03,39003963,QQQ
2022-09-15,294.07,296.53,289.46,291.1,46376067,QQQ
2022-09-16,287.72,289.72,285.62,289.32,45733303,QQQ
2022-09-19,286.15,291.21,286.04,291.05,36414199,QQQ
2022-09-20,288.49,291.07,286.38,288.73,38543208,QQQ
2022-09-21,289.61,293.95,283.42,283.56,60871876,QQQ
2022-09-22,282.0,283.03,278.81,280.07,45000236,QQQ
2022-09-23,277.59,277.85,272.02,275.51,53203771,QQQ
2022-09-26,274.98,279.49,273.57,274.37,49554071,QQQ
2022-09-27,277.81,280.21,272.11,274.48,51497648,QQQ
2022-09-28,274.46,281.25,272.94,279.94,46222754,QQQ
2022-09-29,275.9,276.25,268.84,271.87,59167709,QQQ
2022-09-30,271.03,275.19,267.1,267.26,50405331,QQQ
2022-10-03,269.07,275.16,267.53,273.53,42003367,QQQ
2022-10-04,278.99,282.85,278.99,282.13,46491911,QQQ
2022-10-05,278.32,283.81,275.42,281.98,41802760,QQQ
2022-10-06,280.97,284.18,279.43,279.76,40193035,QQQ
2022-10-07,275.02,275.15,267.74,269.1,46470214,QQQ
2022-10-10,269.31,269.7,263.64,266.41,43846040,QQQ
2022-10-11,264.7,267.63,261.03,262.75,49102808,QQQ
2022-10-12,263.4,265.36,261.95,262.66,35538695,QQQ
2022-10-13,255.18,270.17,254.26,268.82,75616089,QQQ
2022-10-14,271.18,271.81,260.14,260.74,54973687,QQQ
2022-10-17,266.79,270.24,266.74,269.35,43502389,QQQ
2022-10-18,276.54,277.21,268.74,271.48,48604207,QQQ
2022-10-19,269.93,273.68,268.07,270.49,37662666,QQQ
2022-10-20,269.58,274.84,267.92,269.11,40590126,QQQ
2022-10-21,267.98,275.97,266.82,275.42,49796291,QQQ
2022-10-24,275.69,279.4,271.97,278.45,45817706,QQQ
2022-10-25,279.4,284.6,279.4,284.21,39289953,QQQ
2022-10-26,278.46,283.98,277.43,277.93,47601324,QQQ
2022-10-27,276.79,278.28,272.34,272.87,36008969,QQQ
2022-10-28,272.23,281.7,272.06,281.22,44181382,QQQ
2022-10-31,278.92,279.76,275.99,277.95,34363069,QQQ
2022-11-01,281.5,282.07,274.74,275.11,34697698,QQQ
2022-11-02,275.08,278.21,265.61,265.68,62537919,QQQ
2022-11-03,263.01,264.5,260.1,260.49,45292782,QQQ
2022-11-04,265.52,266.61,259.08,264.68,54268629,QQQ
2022-11-07,265.75,268.14,263.57,267.59,33428208,QQQ
2022-11-08,269.1,272.85,265.52,269.54,47478927,QQQ
2022-11-09,267.76,268.56,263.03,263.32,41501436,QQQ
2022-11-10,276.01,283.05,273.85,282.75,64350436,QQQ
2022-11-11,282.56,288.64,281.19,287.96,46423445,QQQ
2022-11-14,285.86,289.22,284.44,285.44,37240608,QQQ
2022-11-15,292.21,293.26,285.97,289.39,51372935,QQQ
2022-11-16,287.39,287.74,284.6,285.44,31810039,QQQ
2022-11-17,280.93,286.32,280.72,284.81,36148414,QQQ
2022-11-18,287.89,287.99,282.32,284.82,32466586,QQQ
2022-11-21,283.4,284.58,281.04,281.89,28320548,QQQ
2022-11-22,282.64,286.11,280.46,285.95,28574235,QQQ
2022-11-23,285.98,289.46,285.79,288.82,31477041,QQQ
2022-11-25,287.19,287.91,286.42,286.92,11139747,QQQ
2022-11-28,284.9,286.96,281.76,282.71,27982990,QQQ
2022-11-29,282.94,283.35,279.17,280.57,27405647,QQQ
2022-11-30,280.84,293.45,279.97,293.36,55428531,QQQ
2022-12-01,293.67,295.75,290.88,293.72,36710289,QQQ
2022-12-02,288.54,293.45,288.36,292.55,33936469,QQQ
2022-12-05,290.38,291.68,286.15,287.64,28631280,QQQ
2022-12-06,287.48,287.62,280.25,281.68,40824738,QQQ
2022-12-07,280.47,282.57,278.78,280.53,29606188,QQQ
2022-12-08,281.91,284.84,279.79,283.85,30239651,QQQ
2022-12-09,282.81,285.64,281.59,282.04,29402599,QQQ
2022-12-12,282.21,285.64,281.16,285.58,26402754,QQQ
2022-12-13,296.63,296.88,285.91,288.65,53467405,QQQ
2022-12-14,288.08,291.41,283.19,286.51,49133320,QQQ
2022-12-15,282.33,283.01,275.67,276.89,43583833,QQQ
2022-12-16,276.2,277.77,272.61,274.25,37843033,QQQ
2022-12-19,273.87,273.96,268.49,269.75,29023707,QQQ
2022-12-20,268.55,271.32,266.95,269.54,26746880,QQQ
2022-12-21,270.6,274.78,269.74,273.45,28574756,QQQ
2022-12-22,270.39,270.52,262.45,266.76,42817928,QQQ
2022-12-23,265.46,268.04,263.53,267.36,26063346,QQQ
2022-12-27,266.74,266.85,263.03,263.58,25703194,QQQ
2022-12-28,263.13,265.47,259.73,260.1,32975327,QQQ
2022-12-29,262.96,267.41,262.25,266.44,28134255,QQQ
2022-12-30,263.59,266.41,262.29,266.28,26819583,QQQ
2023-01-03,268.65,270.16,262.13,264.48,27484545,QQQ
2023-01-04,266.61,267.45,262.53,265.74,35178051,QQQ
2023-01-05,264.07,264.21,261.26,261.58,29144033,QQQ
2023-01-06,263.33,269.94,260.34,268.8,37506602,QQQ
2023-01-09,270.82,275.29,269.92,270.54,35385413,QQQ
2023-01-10,269.53,272.93,268.97,272.83,25355010,QQQ
2023-01-11,273.94,277.66,273.12,277.55,30178131,QQQ
2023-01-12,278.12,280.1,273.74,279.05,39589524,QQQ
2023-01-13,276.52,281.22,276.16,280.97,29916967,QQQ
2023-01-17,280.77,282.85,279.58,281.54,23664229,QQQ
2023-01-18,283.15,284.69,277.67,277.88,33125039,QQQ
2023-01-19,276.24,277.38,273.89,275.15,30854886,QQQ
2023-01-20,276.76,283.02,275.71,282.68,34226855,QQQ
2023-01-23,283.51,290.21,282.73,288.96,36322110,QQQ
2023-01-24,287.31,289.55,286.78,288.37,26243109,QQQ
2023-01-25,283.77,288.36,281.18,287.73,35573974,QQQ
2023-01-26,291.22,293.52,288.51,293.34,32973704,QQQ
2023-01-27,292.0,298.26,291.88,296.26,38031101,QQQ
2023-01-30,292.93,294.38,289.89,290.27,32529087,QQQ
2023-01-31,290.31,294.72,290.2,294.62,28521249,QQQ
2023-02-01,294.41,303.43,292.3,300.92,46718816,QQQ
2023-02-02,307.54,313.68,306.73,311.72,51690009,QQQ
2023-02-03,304.94,312.39,304.54,306.18,51883996,QQQ
2023-02-06,303.53,305.91,302.22,303.59,28201410,QQQ
2023-02-07,303.46,311.03,302.32,309.88,49455996,QQQ
2023-02-08,308.54,309.5,303.67,304.37,35127183,QQQ
2023-02-09,308.84,308.99,300.2,301.68,36653518,QQQ
2023-02-10,299.48,301.57,297.25,299.7,35601926,QQQ
2023-02-13,301.13,305.1,299.93,304.5,28383578,QQQ
2023-02-14,302.86,307.72,300.91,306.75,43952673,QQQ
2023-02-15,304.9,309.27,304.2,309.1,29767727,QQQ
2023-02-16,304.38,308.43,303.15,303.3,41057014,QQQ
2023-02-17,301.07,301.93,298.1,301.16,37375953,QQQ
2023-02-21,297.27,298.73,293.89,294.03,32714283,QQQ
2023-02-22,294.62,296.36,292.56,294.25,36282137,QQQ
2023-02-23,297.97,298.13,292.55,296.82,51224367,QQQ
2023-02-24,291.76,292.97,290.05,291.85,53793040,QQQ
2023-02-27,295.08,296.49,293.34,293.94,33210872,QQQ
2023-02-28,293.3,296.13,292.96,293.56,34909345,QQQ
2023-03-01,293.24,293.93,290.2,291.2,42306947,QQQ
2023-03-02,288.66,294.43,288.37,293.61,38476060,QQQ
2023-03-03,295.39,299.92,294.87,299.68,41797615,QQQ
2023-03-06,300.94,304.0,299.82,300.02,39726914,QQQ
2023-03-07,300.07,301.01,295.72,296.34,50127223,QQQ
2023-03-08,296.74,298.43,294.88,297.82,37776606,QQQ
2023-03-09,298.34,300.98,291.82,292.66,52121763,QQQ
2023-03-10,292.83,294.35,287.38,288.55,72014420,QQQ
2023-03-13,286.73,294.47,285.19,290.69,70617318,QQQ
2023-03-14,294.31,297.93,293.45,297.37,52108129,QQQ
2023-03-15,294.71,299.27,293.24,298.93,54782747,QQQ
2023-03-16,297.95,307.18,297.19,306.81,63878662,QQQ
2023-03-17,306.72,309.15,303.37,305.36,51394473,QQQ
2023-03-20,304.26,306.3,302.01,305.97,37415693,QQQ
2023-03-21,307.94,310.8,306.39,310.34,34018258,QQQ
2023-03-22,310.27,315.25,305.95,306.12,54160949,QQQ
2023-03-23,309.92,314.15,307.01,309.75,49896345,QQQ
2023-03-24,309.33,310.99,306.95,310.89,42561738,QQQ
2023-03-27,311.6,312.7,307.89,308.76,36881255,QQQ
2023-03-28,308.17,308.2,304.77,307.12,33670801,QQQ
2023-03-29,310.88,313.35,310.05,312.72,37405936,QQQ
2023-03-30,315.22,316.32,313.93,315.68,34851002,QQQ
2023-03-31,315.91,321.17,315.6,320.93,41292375,QQQ
2023-04-03,318.77,320.42,317.42,320.15,33273958,QQQ
2023-04-04,320.6,321.63,317.82,319.07,30924020,QQQ
2023-04-05,318.1,318.31,314.07,315.92,47619902,QQQ
2023-04-06,314.24,318.55,312.82,318.05,33733039,QQQ
2023-04-10,315.06,317.92,313.25,317.87,31556258,QQQ
2023-04-11,317.83,317.89,315.31,315.83,29151954,QQQ
