date,open,high,low,close,volume,symbol,metric
2021-10-21,0.13355223,0.13355223,0.13355223,0.13355223,1,GLD,HISTORICAL_VOLATILITY
2021-10-22,0.14128312,0.14128312,0.14128312,0.14128312,1,GLD,HISTORICAL_VOLATILITY
2021-10-25,0.1419181,0.1419181,0.1419181,0.1419181,1,GLD,HISTORICAL_VOLATILITY
2021-10-26,0.14233084,0.14233084,0.14233084,0.14233084,1,GLD,HISTORICAL_VOLATILITY
2021-10-27,0.14233084,0.14233084,0.14233084,0.14233084,1,GLD,HISTORICAL_VOLATILITY
2021-10-28,0.13037733,0.13037733,0.13037733,0.13037733,1,GLD,HISTORICAL_VOLATILITY
2021-10-29,0.13418721,0.13418721,0.13418721,0.13418721,1,GLD,HISTORICAL_VOLATILITY
2021-11-01,0.13436183,0.13436183,0.13436183,0.13436183,1,GLD,HISTORICAL_VOLATILITY
2021-11-02,0.1330125,0.1330125,0.1330125,0.1330125,1,GLD,HISTORICAL_VOLATILITY
2021-11-03,0.1356318,0.1356318,0.1356318,0.1356318,1,GLD,HISTORICAL_VOLATILITY
2021-11-04,0.13694938,0.13694938,0.13694938,0.13694938,1,GLD,HISTORICAL_VOLATILITY
2021-11-05,0.13788598,0.13788598,0.13788598,0.13788598,1,GLD,HISTORICAL_VOLATILITY
2021-11-08,0.13772723,0.13772723,0.13772723,0.13772723,1,GLD,HISTORICAL_VOLATILITY
2021-11-09,0.1370605,0.1370605,0.1370605,0.1370605,1,GLD,HISTORICAL_VOLATILITY
2021-11-10,0.1442199,0.1442199,0.1442199,0.1442199,1,GLD,HISTORICAL_VOLATILITY
2021-11-11,0.1402989,0.1402989,0.1402989,0.1402989,1,GLD,HISTORICAL_VOLATILITY
2021-11-12,0.14052114,0.14052114,0.14052114,0.14052114,1,GLD,HISTORICAL_VOLATILITY
2021-11-15,0.13899719,0.13899719,0.13899719,0.13899719,1,GLD,HISTORICAL_VOLATILITY
2021-11-16,0.13688588,0.13688588,0.13688588,0.13688588,1,GLD,HISTORICAL_VOLATILITY
2021-11-17,0.13864795,0.13864795,0.13864795,0.13864795,1,GLD,HISTORICAL_VOLATILITY
2021-11-18,0.13771136,0.13771136,0.13771136,0.13771136,1,GLD,HISTORICAL_VOLATILITY
2021-11-19,0.13291725,0.13291725,0.13291725,0.13291725,1,GLD,HISTORICAL_VOLATILITY
2021-11-22,0.14194985,0.14194985,0.14194985,0.14194985,1,GLD,HISTORICAL_VOLATILITY
2021-11-23,0.14363255,0.14363255,0.14363255,0.14363255,1,GLD,HISTORICAL_VOLATILITY
2021-11-24,0.14274357,0.14274357,0.14274357,0.14274357,1,GLD,HISTORICAL_VOLATILITY
2021-11-26,0.1459026,0.1459026,0.1459026,0.1459026,1,GLD,HISTORICAL_VOLATILITY
2021-11-29,0.13848921,0.13848921,0.13848921,0.13848921,1,GLD,HISTORICAL_VOLATILITY
2021-11-30,0.14455327,0.14455327,0.14455327,0.14455327,1,GLD,HISTORICAL_VOLATILITY
2021-12-01,0.1442834,0.1442834,0.1442834,0.1442834,1,GLD,HISTORICAL_VOLATILITY
2021-12-02,0.14387066,0.14387066,0.14387066,0.14387066,1,GLD,HISTORICAL_VOLATILITY
2021-12-03,0.14506125,0.14506125,0.14506125,0.14506125,1,GLD,HISTORICAL_VOLATILITY
