lookback,strength,stop_atr,trail_atr,hold,fail_wait,eligible_assets,avg_sharpe,median_sharpe,best_sharpe,avg_return,avg_trades,avg_max_dd,avg_win_rate,avg_exp_return,top_symbol,score
20,0.2,2.5,3.0,12,4,6,0.09547833145671857,0.01702668826168438,0.9943240153159822,0.007683517858333359,44.0,-0.03268289314554301,0.5071292805163774,0.0005384614180470856,QQQ,0.4980156761514865
20,0.2,2.5,3.0,15,4,6,0.09547833145671857,0.01702668826168438,0.9943240153159822,0.007683517858333359,44.0,-0.03268289314554301,0.5071292805163774,0.0005384614180470856,QQQ,0.4980156761514865
20,0.2,2.5,3.0,18,4,6,0.09547833145671857,0.01702668826168438,0.9943240153159822,0.007683517858333359,44.0,-0.03268289314554301,0.5071292805163774,0.0005384614180470856,QQQ,0.4980156761514865
30,0.25,3.0,2.5,12,4,5,0.21149193637984923,0.2809158438715781,0.712600157205882,0.015758950853571464,37.4,-0.02354548165847392,0.5221410014161223,0.001471252307086971,QQQ,0.49651985548056893
30,0.25,3.0,2.5,15,4,5,0.21149193637984923,0.2809158438715781,0.712600157205882,0.015758950853571464,37.4,-0.02354548165847392,0.5221410014161223,0.001471252307086971,QQQ,0.49651985548056893
30,0.25,3.0,2.5,18,4,5,0.21149193637984923,0.2809158438715781,0.712600157205882,0.015758950853571464,37.4,-0.02354548165847392,0.5221410014161223,0.001471252307086971,QQQ,0.49651985548056893
20,0.2,2.5,3.5,12,4,6,0.09198104421245273,0.006534826528886824,0.9943240153159822,0.007242107924404791,44.0,-0.03268289314554301,0.5071292805163774,0.0005075158812795558,QQQ,0.4940684809165014
20,0.2,2.5,3.5,15,4,6,0.09198104421245273,0.006534826528886824,0.9943240153159822,0.007242107924404791,44.0,-0.03268289314554301,0.5071292805163774,0.0005075158812795558,QQQ,0.4940684809165014
20,0.2,2.5,3.5,18,4,6,0.09198104421245273,0.006534826528886824,0.9943240153159822,0.007242107924404791,44.0,-0.03268289314554301,0.5071292805163774,0.0005075158812795558,QQQ,0.4940684809165014
30,0.25,3.0,3.0,12,4,5,0.2050570782359077,0.2809158438715781,0.712600157205882,0.01530360165857143,37.4,-0.02354548165847392,0.5221410014161223,0.0014205318175558,QQQ,0.49225812173079514
30,0.25,3.0,3.0,15,4,5,0.2050570782359077,0.2809158438715781,0.712600157205882,0.01530360165857143,37.4,-0.02354548165847392,0.5221410014161223,0.0014205318175558,QQQ,0.49225812173079514
30,0.25,3.0,3.0,18,4,5,0.2050570782359077,0.2809158438715781,0.712600157205882,0.01530360165857143,37.4,-0.02354548165847392,0.5221410014161223,0.0014205318175558,QQQ,0.49225812173079514
30,0.25,3.0,3.5,12,4,5,0.1989965630580387,0.2809158438715781,0.712600157205882,0.014848252463571443,37.4,-0.02354548165847392,0.5221410014161223,0.0013698113280246292,QQQ,0.48816484231575413
30,0.25,3.0,3.5,15,4,5,0.1989965630580387,0.2809158438715781,0.712600157205882,0.014848252463571443,37.4,-0.02354548165847392,0.5221410014161223,0.0013698113280246292,QQQ,0.48816484231575413
30,0.25,3.0,3.5,18,4,5,0.1989965630580387,0.2809158438715781,0.712600157205882,0.014848252463571443,37.4,-0.02354548165847392,0.5221410014161223,0.0013698113280246292,QQQ,0.48816484231575413
20,0.2,2.0,2.5,12,4,6,0.13011406962826663,0.1199309237015994,0.8091853919535157,0.013908927980952427,44.0,-0.036722669020195664,0.5071292805163774,0.000846510434987677,QQQ,0.4870268252317919
20,0.2,2.0,2.5,15,4,6,0.13011406962826663,0.1199309237015994,0.8091853919535157,0.013908927980952427,44.0,-0.036722669020195664,0.5071292805163774,0.000846510434987677,QQQ,0.4870268252317919
20,0.2,2.0,2.5,18,4,6,0.13011406962826663,0.1199309237015994,0.8091853919535157,0.013908927980952427,44.0,-0.036722669020195664,0.5071292805163774,0.000846510434987677,QQQ,0.4870268252317919
30,0.15,3.0,3.0,12,5,5,0.08022206363832877,0.10598357598379117,0.9040928123375188,0.013142830302857123,40.8,-0.03518772232621705,0.49072427420580633,0.0002557877350176853,GLD,0.47975462084545406
30,0.25,2.5,2.5,12,4,5,0.15827778764495912,0.2823256428321838,0.7459215914580024,0.014583434982142962,37.4,-0.029784377102162595,0.5178856822671861,0.0012141298368362678,QQQ,0.47918435110727964
30,0.25,2.5,2.5,15,4,5,0.15827778764495912,0.2823256428321838,0.7459215914580024,0.014583434982142962,37.4,-0.029784377102162595,0.5178856822671861,0.0012141298368362678,QQQ,0.47918435110727964
